iter	Passed	Remaining
0	1	96
1	3	89
2	5	91
3	7	91
4	10	90
5	12	88
6	14	86
7	16	85
8	18	83
9	20	82
10	22	79
11	24	77
12	26	75
13	28	72
14	30	70
15	32	68
16	34	66
17	35	63
18	37	61
19	39	59
20	41	57
21	43	55
22	45	53
23	47	51
24	49	49
25	50	46
26	52	44
27	54	42
28	55	40
29	57	38
30	59	36
31	61	34
32	62	32
33	64	30
34	66	28
35	68	26
36	70	24
37	71	22
38	73	20
39	75	18
40	77	16
41	79	15
42	80	13
43	82	11
44	84	9
45	86	7
46	87	5
47	89	3
48	91	1
49	93	0
